"model","converged","n_risk_rows","expected_interaction","interaction_rule_pass","formula","scenario_id","replicate","seed"
"M9_denominator",TRUE,713940,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VS_B_N",765,20960765
"M9_numerator",TRUE,713940,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VS_B_N",765,20960765
"M10_M11_eye_denominator",TRUE,557898,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VS_B_N",765,20960765
"M10_M11_eye_numerator",TRUE,557898,"",TRUE,"eye_event ~ group + time + I(time^2)","VS_B_N",765,20960765
"M10_M11_shared_denominator",TRUE,166440,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VS_B_N",765,20960765
"M10_M11_shared_numerator",TRUE,166440,"",TRUE,"shared_event ~ group + time + I(time^2)","VS_B_N",765,20960765
"M9_denominator",TRUE,734745,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VS_B_N",766,20960766
"M9_numerator",TRUE,734745,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VS_B_N",766,20960766
"M10_M11_eye_denominator",TRUE,567495,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VS_B_N",766,20960766
"M10_M11_eye_numerator",TRUE,567495,"",TRUE,"eye_event ~ group + time + I(time^2)","VS_B_N",766,20960766
"M10_M11_shared_denominator",TRUE,187245,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VS_B_N",766,20960766
"M10_M11_shared_numerator",TRUE,187245,"",TRUE,"shared_event ~ group + time + I(time^2)","VS_B_N",766,20960766
"M9_denominator",TRUE,754455,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VS_B_N",767,20960767
